City Name,Total Population 2000,Total Population 2010,Total Population Numeric Change 2000 to 2010,Total Population Percent Change 2000 to 2010,Population Rank 2000,Population Rank 2010,Population Rank Change in Rank 2000 to 2010,Population Density (Persons / Square Mile) 2000,Population Density (Persons / Square Mile) 2010,Population Density Numeric Change 2000 to 2010,Population Density Percent Change 2000 to 2010,Total Housing Units 2000,Total Housing Units 2010,Total Housing Units Numeric Change 2000 to 2010,Total Housing Units Percent Change 2000 to 2010,Occupied Housing Units 2000,Occupied Housing Units 2010,Vacant Housing Units 2000,Vacant Housing Units 2010,Occupancy Rate (%) 2000,Occupancy Rate (%) 2010,Occupancy Rate Numeric Change 2000 to 2010,Vacancy Rate (%) 2000,Vacancy Rate (%) 2010,Vacancy Rate Numeric Change 2000 to 2010,Land Area (Square Miles) 2000,Land Area (Square Miles) 2010,Total Area (Square Miles) 2000,Total Area (Square Miles) 2010,Water Area (%) 2000,Water Area (%) 2010,Geoid,Location 1 (state),Location 1
Millwood,1649,1786,137,8.31,167,166,-1,2395.68,2546.5,150.82,6.3,779,793,14,1.8,741,751,38,42,95.12,94.7,-0.42,4.88,5.3,0.42,0.69,0.7,0.72,0.73,4.77,4.56,5345985,Washington,POINT (-117.2820200002227 47.68506000001918)
Snoqualmie,1631,10670,9039,554.2,168,74,-94,317.21,1666.13,1348.9,425.24,656,3761,3105,473.32,632,3547,24,214,96.34,94.31,-2.03,3.66,5.69,2.03,5.14,6.4,5.17,6.52,0.52,1.72,5365205,Washington,POINT (-121.824719999828 47.52704999965795)
Tekoa,826,778,-48,-5.81,205,212,7,727.17,681.95,-45.22,-6.22,363,360,-3,-0.83,318,307,45,53,87.6,85.28,-2.33,12.4,14.72,2.33,1.14,1.14,1.14,1.14,0,0,5370560,Washington,POINT (-117.07361999996289 47.226789999958726)
Seattle,563374,608660,45286,8.04,1,1,0,6717.02,7250.91,533.89,7.95,270524,308516,37992,14.04,258499,283510,12025,25006,95.55,91.89,-3.66,4.45,8.11,3.66,83.87,83.94,142.54,142.65,41.16,41.16,5363000,Washington,POINT (-122.32943999975606 47.60355999989423)
Odessa,957,910,-47,-4.91,194,205,11,1170.89,1106.88,-64.01,-5.47,472,460,-12,-2.54,405,394,67,66,85.81,85.65,-0.15,14.19,14.35,0.15,0.82,0.82,0.82,0.82,0,0,5350745,Washington,POINT (-118.68998999983847 47.333229999964715)
Mesa,425,489,64,15.06,238,236,-2,268.7,298.92,30.22,11.25,111,128,17,15.32,105,124,6,4,94.59,96.88,2.28,5.41,3.13,-2.28,1.58,1.64,1.58,1.64,0,0,5345180,Washington,POINT (-119.00526999971055 46.57831000030643)
Davenport,1730,1734,4,0.23,163,169,6,1143.33,954.76,-188.6,-16.49,763,750,-13,-1.7,707,694,56,56,92.66,92.53,-0.13,7.34,7.47,0.13,1.51,1.82,1.51,1.82,0,0,5316795,Washington,POINT (-118.14912999974956 47.65404999990773)
Winlock,1166,1339,173,14.84,179,184,5,1073.62,1037.56,-36.06,-3.36,462,535,73,15.8,420,475,42,60,90.91,88.79,-2.12,9.09,11.21,2.12,1.09,1.29,1.09,1.29,0,0,5379275,Washington,POINT (-122.93880999988147 46.49114000041084)
Winthrop,349,394,45,12.89,246,246,0,398.83,418.8,19.97,5.01,242,300,58,23.97,185,205,57,95,76.45,68.33,-8.11,23.55,31.67,8.11,0.88,0.94,0.88,0.94,0,0,5379380,Washington,POINT (-120.17756000009376 48.47373000023947)
Ephrata,6808,7664,856,12.57,86,91,5,682.95,759.91,76.96,11.27,2788,3086,298,10.69,2561,2856,227,230,91.86,92.55,0.69,8.14,7.45,-0.69,9.97,10.09,9.97,10.09,0,0,5322080,Washington,POINT (-119.55125000028715 47.318670000320424)
Coupeville,1723,1831,108,6.27,164,164,0,1346.7,1489.36,142.66,10.59,814,933,119,14.62,737,806,77,127,90.54,86.39,-4.15,9.46,13.61,4.15,1.28,1.23,1.28,1.23,0,0,5315185,Washington,POINT (-122.68557999981698 48.21857000020549)
Roslyn,1017,893,-124,-12.19,188,206,18,213.02,204.52,-8.5,-3.99,623,648,25,4.01,467,437,156,211,74.96,67.44,-7.52,25.04,32.56,7.52,4.77,4.37,4.77,4.37,0,0,5360055,Washington,POINT (-120.99603000038405 47.22594999989275)
Ione,479,447,-32,-6.68,234,239,5,881.3,842.36,-38.94,-4.42,239,237,-2,-0.84,200,195,39,42,83.68,82.28,-1.4,16.32,17.72,1.4,0.54,0.53,0.6,0.58,9.29,8.11,5333560,Washington,POINT (-117.4179300003691 48.74133999974134)
Moses Lake,14953,20366,5413,36.2,48,46,-2,1468.61,1292.72,-175.9,-11.98,6263,8365,2102,33.56,5642,7600,621,765,90.08,90.85,0.77,9.92,9.15,-0.77,10.18,15.75,11.94,18.75,14.7,15.99,5347245,Washington,POINT (-119.27715000007231 47.13192999976985)
Sammamish,34104,45780,11676,34.24,23,23,0,1888.94,2512.24,623.3,33,11599,15736,4137,35.67,11131,15154,468,582,95.97,96.3,0.34,4.03,3.7,-0.34,18.05,18.22,18.3,18.47,1.37,1.34,5361115,Washington,POINT (-122.03546999964061 47.61353999967139)
South Bend,1807,1637,-170,-9.41,158,175,17,999.38,1007.66,8.28,0.83,815,780,-35,-4.29,702,684,113,96,86.13,87.69,1.56,13.87,12.31,-1.56,1.81,1.62,2.19,2,17.46,18.88,5365625,Washington,POINT (-123.78696999966559 46.66870000030491)
Kittitas,1105,1381,276,24.98,183,182,-1,1813.72,1817.78,4.06,0.22,510,579,69,13.53,443,543,67,36,86.86,93.78,6.92,13.14,6.22,-6.92,0.61,0.76,0.61,0.76,0,0,5336045,Washington,POINT (-120.41751999974804 46.98472000012805)
Yacolt,1055,1566,511,48.44,185,177,-8,2075.25,3131.47,1056.2,50.9,344,484,140,40.7,319,454,25,30,92.73,93.8,1.07,7.27,6.2,-1.07,0.51,0.5,0.51,0.5,0,0,5379975,Washington,POINT (-122.40847999975205 45.8667999997204)
Toppenish,8946,8949,3,0.03,69,86,17,4762.67,4280.01,-482.7,-10.13,2440,2334,-106,-4.34,2275,2237,165,97,93.24,95.84,2.61,6.76,4.16,-2.61,1.88,2.09,1.88,2.09,0,0,5371960,Washington,POINT (-120.31298000012674 46.37508000014208)
Marysville,25315,60020,34705,137.09,36,15,-21,2640.06,2902.46,262.41,9.94,9730,22363,12633,129.84,9400,21219,330,1144,96.61,94.88,-1.72,3.39,5.12,1.72,9.59,20.68,9.78,20.94,1.92,1.25,5343955,Washington,POINT (-122.17691999985794 48.059679999732396)
Port Orchard,7693,11144,3451,44.86,82,71,-11,1912.08,1539.34,-372.7,-19.49,3178,4630,1452,45.69,2901,4278,277,352,91.28,92.4,1.11,8.72,7.6,-1.11,4.02,7.24,4.91,8.52,17.99,14.98,5355785,Washington,POINT (-122.63847000009031 47.54103000043432)
North Bend,4746,5731,985,20.75,104,112,8,1611.56,1343.19,-268.4,-16.65,1889,2348,459,24.3,1841,2210,48,138,97.46,94.12,-3.34,2.54,5.88,3.34,2.94,4.27,2.94,4.3,0,0.85,5349485,Washington,POINT (-121.78266999962062 47.49327000041035)
Ellensburg,15414,18174,2760,17.91,47,53,6,2338.9,2625.05,286.15,12.23,6732,7867,1135,16.86,6249,7301,483,566,92.83,92.81,-0.02,7.17,7.19,0.02,6.59,6.92,6.64,6.97,0.69,0.72,5321240,Washington,POINT (-120.54872000032759 46.997030000334405)
Reardan,608,571,-37,-6.09,222,227,5,1285.23,1167.68,-117.5,-9.15,242,255,13,5.37,227,240,15,15,93.8,94.12,0.32,6.2,5.88,-0.32,0.47,0.49,0.48,0.49,1.15,1.1,5357465,Washington,POINT (-117.87715000017221 47.66950999968691)
Aberdeen,16461,16896,435,2.64,46,60,14,1548.82,1586.03,37.21,2.4,7536,7338,-198,-2.63,6517,6476,1019,862,86.48,88.25,1.77,13.52,11.75,-1.77,10.63,10.65,12.18,12.36,12.73,13.8,5300100,Washington,POINT (-123.8159800001767 46.975859999839315)
Albion,616,800,-37,-6.01,221,226,5,1663.43,1629.81,-33.62,-2.02,315,302,-13,-4.13,274,271,41,31,86.98,89.74,2.75,13.02,10.26,-2.75,0.37,0.36,0.37,0.36,0,0,5301010,Washington,POINT (-117.25134000004084 46.78984999967793)
