City Name,Total Population 2000,Total Population 2010,Total Population Numeric Change 2000 to 2010,Total Population Percent Change 2000 to 2010,Population Rank 2000,Population Rank 2010,Population Rank Change in Rank 2000 to 2010,Population Density (Persons / Square Mile) 2000,Population Density (Persons / Square Mile) 2010,Population Density Numeric Change 2000 to 2010,Population Density Percent Change 2000 to 2010,Total Housing Units 2000,Total Housing Units 2010,Total Housing Units Numeric Change 2000 to 2010,Total Housing Units Percent Change 2000 to 2010,Occupied Housing Units 2000,Occupied Housing Units 2010,Vacant Housing Units 2000,Vacant Housing Units 2010,Occupancy Rate (%) 2000,Occupancy Rate (%) 2010,Occupancy Rate Numeric Change 2000 to 2010,Vacancy Rate (%) 2000,Vacancy Rate (%) 2010,Vacancy Rate Numeric Change 2000 to 2010,Land Area (Square Miles) 2000,Land Area (Square Miles) 2010,Total Area (Square Miles) 2000,Total Area (Square Miles) 2010,Water Area (%) 2000,Water Area (%) 2010,Geoid,Location 1 (state),Location 1
Hamilton,309,301,-8,-2.59,252,251,-1,313.23,267.63,-45.6,-14.56,135,141,6,4.44,117,116,18,25,86.67,82.27,-4.4,13.33,17.73,4.4,0.99,1.12,0.99,1.12,0,0,5329255,Washington,POINT (-121.9889199996581 48.52978000034693)
Sumas,960,1307,347,36.15,192,186,-6,687.47,884.34,196.86,28.64,401,531,130,32.42,346,482,55,49,86.28,90.77,4.49,13.72,9.23,-4.49,1.4,1.48,1.4,1.48,0,0.14,5368330,Washington,POINT (-122.26496000030363 48.999559999694384)
George,528,501,-27,-5.11,230,235,5,879.25,375.74,-503.5,-57.27,162,168,6,3.7,141,131,21,37,87.04,77.98,-9.06,12.96,22.02,9.06,0.6,1.33,0.6,1.33,0,0,5326455,Washington,POINT (-119.85645999982899 47.081060000219)
Auburn,40314,70180,29866,74.08,18,14,-4,1895.93,2369.28,473.35,24.97,16767,27834,11067,66,16108,26058,659,1776,96.07,93.62,-2.45,3.93,6.38,2.45,21.26,29.62,21.27,29.89,0.03,0.9,5303180,Washington,POINT (-122.23040999972159 47.30740000040987)
East Wenatchee,5757,13190,7433,129.11,97,65,-32,2474.45,3469.88,995.43,40.23,2429,5275,2846,117.17,2295,4997,134,278,94.48,94.73,0.25,5.52,5.27,-0.25,2.33,3.8,2.33,3.81,0,0.22,5320155,Washington,POINT (-120.29459000012827 47.41483000020452)
Entiat,957,1112,155,16.2,194,193,-1,700.63,526.32,-174.3,-24.88,400,495,95,23.75,342,421,58,74,85.5,85.05,-0.45,14.5,14.95,0.45,1.37,2.11,1.92,2.75,28.77,23.03,5322010,Washington,POINT (-120.20896000020372 47.67496000010408)
Cathlamet,565,532,-33,-5.84,227,233,6,1426.18,1089.93,-336.3,-23.58,278,296,18,6.47,246,258,32,38,88.49,87.16,-1.33,11.51,12.84,1.33,0.4,0.49,0.4,0.5,0,1.46,5310635,Washington,POINT (-123.38572999993937 46.207310000256484)
Mountlake Terrace,20362,19909,-453,-2.22,39,48,9,5036.75,4908.75,-128,-2.54,8217,8602,385,4.69,7962,8192,255,410,96.9,95.23,-1.66,3.1,4.77,1.66,4.04,4.06,4.15,4.16,2.57,2.55,5347490,Washington,POINT (-122.3111099998265 47.788030000084575)
Maple Valley,14209,22684,8475,59.65,51,43,-8,2617.88,3965.52,1347.6,51.48,4922,7997,3075,62.47,4809,7679,113,318,97.7,96.02,-1.68,2.3,3.98,1.68,5.43,5.72,5.59,5.9,2.96,3.06,5343150,Washington,POINT (-122.04531000015623 47.39381000033143)
Riverside,348,280,-68,-19.54,247,258,11,389.49,287.73,-101.8,-26.13,153,154,1,0.65,143,128,10,26,93.46,83.12,-10.35,6.54,16.88,10.35,0.89,0.97,0.97,1,8.12,2.3,5358795,Washington,POINT (-119.50856000024368 48.501190000318445)
